Name,Subtotal,Shipping,Taxes,Total,Created at,Billing City,Billing Zip,Billing Province,Billing Country
#1595,10.99,8,1.73,18.99,2016-08-16 20:03:28 +1000,Burua,'4680,QLD,AU
#1585,36.95,16.65,4.87,53.6,2016-08-11 15:58:09 +1000,Gladstone Australia,'4680,QLD,AU
#1530,31.99,13.05,4.09,45.04,2016-07-04 20:46:21 +1000,Gladstone ,'4680,QLD,AU
#1391,68.25,16.25,7.68,84.5,2015-12-26 11:08:41 +1100,Kirkwood ,'4680,QLD,AU
#1369,29.89,14.45,4.03,44.34,2015-12-15 10:38:10 +1100,Calliope,'4680,QLD,AU
#1208,13.3,8,1.94,21.3,2015-09-21 12:03:21 +1000,Boyne Island,'4680,QLD,AU
#1059,29.95,11.75,3.79,41.7,2015-01-07 19:54:21 +1100,gladstone,'4680,QLD,AU
#1037,109.85,25,12.26,134.85,2014-12-03 12:36:53 +1100,Gladstone ,'4680,QLD,AU
#1729,19.99,13.05,3,33.04,2016-11-01 13:56:36 +1100,MT LARCOM,'4695,QLD,AU
#1166,65.54,13.05,7.14,78.59,2015-07-12 14:42:14 +1000,Rockhampton ,'4700,QLD,AU
#1419,16.99,8,2.27,24.99,2016-02-08 15:13:39 +1100,NORTH ROCKHAMPTON,'4701,QLD,AU
#1190,277.89,23.15,27.37,301.04,2015-08-20 16:26:48 +1000,Berserker,'4701,QLD,AU
#1750,23.93,9.79,3.07,33.72,2016-11-10 09:02:59 +1100,Rubyvale,'4702,QLD,AU
#1091,64.85,14.7,7.23,79.55,2015-03-22 23:26:52 +1100,Emu Park,'4710,QLD,AU
#1548,24.99,16.65,3.79,41.64,2016-07-20 17:18:45 +1000,Glenlee,'4711,QLD,AU
#2090,86.94,13.4,9.12,100.34,2017-03-31 13:10:19 +1100,Mt Morgan,'4714,QLD,AU
#1986,11.99,9.79,1.98,21.78,2017-01-06 14:02:24 +1100,Moura,'4718,QLD,AU
#1580,28.5,13.05,3.78,41.55,2016-08-09 18:46:35 +1000,EMERALD,'4720,QLD,AU
#2047,86.97,24.15,10.1,111.12,2017-02-28 08:04:47 +1100,Springsure,'4722,QLD,AU
#1514,39.95,16.65,5.15,56.6,2016-06-22 08:17:50 +1000,Springsure,'4722,QLD,AU
#2023,29.99,8.2,3.47,38.19,2017-02-09 09:49:03 +1100,Eimeo,'4740,QLD,AU
#1731,7.3,10.3,1.6,17.6,2016-11-03 10:35:39 +1100,Mackay,'4740,QLD,AU
#1446,42.27,14.45,5.16,56.72,2016-04-13 16:16:10 +1000,Mackay,'4740,QLD,AU
#1185,39.9,13.05,4.81,52.95,2015-08-09 08:52:48 +1000,mackay,'4740,QLD,AU
#1184,24.99,13.05,3.46,38.04,2015-08-08 15:42:32 +1000,mackay,'4740,QLD,AU
#1090,49.95,11.8,5.61,61.75,2015-03-21 22:21:06 +1100,Mackay,'4740,QLD,AU
#1308,49.85,16.25,6.01,66.1,2015-11-29 16:51:07 +1100,Farleigh,'4741,QLD,AU
#1588,20.99,8,2.64,28.99,2016-08-12 18:48:38 +1000,Moranbah,'4744,QLD,AU
#1251,32.99,8,3.73,40.99,2015-11-03 10:30:33 +1100,Moranbah,'4744,QLD,AU
